image_name,x1,y1,x2,y2,rho,theta_rad,theta_deg,lines,ix1,iy1,ix2,iy2,irho,itheta,itheta_deg
image_0.pnm,399,352,358,350,-59.94,3.19,182.79270236571327,8,0,332,639,363,0.8331359725114434,0.048475296348802425,2.777429891432308
image_0.pnm,52,628,226,606,-216.83,6.16,352.7939429986167,8,0,634,639,553,-34.88982212081372,6.157097212114996,352.77568430595466
image_0.pnm,412,170,294,282,-88.65,2.38,136.49433359126652,8,0,561,591,0,9.4248951244288,5.5238229259645255,316.4917404353727
image_0.pnm,586,576,468,618,-102.13,2.80,160.40771810894847,8,639,557,408,639,-98.77717492549145,2.8004896767776963,160.45623904931807
image_0.pnm,637,507,71,22,10.29,3.85,220.5929570752855,8,639,508,45,0,26.177041819415944,3.8491087402174213,220.53768570137544
image_0.pnm,235,16,388,477,-72.44,1.25,71.6396550144907,8,441,639,229,0,-4.248795803837835,4.3920475373146814,251.6457873089582
image_0.pnm,180,519,284,360,-148.18,5.29,303.1882195175704,8,101,639,519,0,-5.055830658412644,5.291674042329399,303.1905891844063
image_0.pnm,374,322,116,122,119.32,3.80,217.7826208409708,8,0,32,639,527,-25.197383453516473,0.6590900463342081,37.763077974032
image_1.pnm,608,599,117,534,-74.48,3.27,187.54113164878126,10,0,518,639,603,31.21642566480133,0.13224399770872708,7.577022934647791
image_1.pnm,427,457,172,411,-0.06,3.32,190.22573601919362,10,0,379,639,495,20.405928761656263,0.17957805564574636,10.289064681666712
image_1.pnm,475,458,634,103,131.90,5.13,294.1270026374922,10,639,91,393,639,-39.21536346185052,1.992739368103095,114.17555546187393
image_1.pnm,519,208,145,374,-22.73,2.72,156.06594565311872,10,0,438,639,154,9.290417410972621,5.864960977600357,336.0375110254218
image_1.pnm,137,135,376,250,-112.50,0.45,25.695536121449475,10,0,69,639,376,-42.67325897861866,0.44787604615285453,25.661407189565036
image_1.pnm,484,448,233,421,-50.53,3.25,186.13968239992386,10,0,395,639,464,11.258497161419745,0.10756444752982855,6.162988869115569
image_1.pnm,158,18,326,167,-209.31,0.73,41.56997155993821,10,639,444,137,0,13.990290464418479,3.8657566845995,221.49154265203708
image_1.pnm,228,495,534,125,46.58,5.40,309.59166784252466,10,108,639,637,0,33.86392674896877,5.403886026999518,309.61986231679083
