total_duration,htDuration,pbs_ncpus,pbs_select,sampling_rate,cluster_rho_threshold,cluster_theta_threshold,cluster_similar_lines,hough_theta,ppht_line_gap,pbs_place,ppht_line_len,gb_kernel_size,gb_sigma,HT_parallelism,pbs_mem,sed_threshold,output_disabled,omp_threads,HT_version,image_name,sed_scale_factor,parallel_preprocessing,hough_vote_threshold,precision,recall,preprocessingDuration,histogram_equalization,pbs_np,greyscale_conversion,gaussian_blur,sobel_edge_detection
1.258444,0.446291,1,1,75,75.0,5.0,true,360,25,pack,50,7,1.9,None,8,100,true,4,HT,syn_img_5k,1,true,120,0.921348,0.820000,0.662214,false,1,true,false,false
1.257541,0.446381,1,1,75,75.0,5.0,true,360,25,pack,50,7,1.9,None,8,100,true,4,HT,syn_img_5k,1,true,120,0.921348,0.820000,0.662466,false,1,true,false,false
1.191146,0.379656,1,1,75,75.0,5.0,true,360,25,pack,50,7,1.9,None,8,100,true,4,PHT,syn_img_5k,1,true,120,0.942529,0.820000,0.663115,false,1,true,false,false
1.189864,0.378426,1,1,75,75.0,5.0,true,360,25,pack,50,7,1.9,None,8,100,true,4,PHT,syn_img_5k,1,true,120,0.941860,0.810000,0.662265,false,1,true,false,false
7.799766,0.607649,1,1,75,75.0,5.0,false,360,25,pack,50,7,1.9,None,8,100,true,1,PPHT,syn_img_5k,1,true,50,0.060794,0.980000,7.036573,false,1,true,false,true
7.779096,0.610269,1,1,75,75.0,5.0,false,360,25,pack,50,7,1.9,None,8,100,true,1,PPHT,syn_img_5k,1,true,50,0.059107,0.980000,7.016059,false,1,true,false,true
12.199522,8.944848,4,2,75,75.0,5.0,true,360,25,pack,50,7,1.9,MPI,16,100,true,4,HT,syn_img_5k,1,true,120,0.921348,0.820000,2.617371,false,4,true,false,false
12.168928,8.937807,4,2,75,75.0,5.0,true,360,25,pack,50,7,1.9,MPI,16,100,true,4,HT,syn_img_5k,1,true,120,0.921348,0.820000,2.614763,false,4,true,false,false
12.182894,8.937673,4,2,75,75.0,5.0,true,360,25,pack,50,7,1.9,MPI,16,100,true,4,PHT,syn_img_5k,1,true,120,0.941860,0.810000,2.639377,false,4,true,false,false
12.188572,8.962784,4,2,75,75.0,5.0,true,360,25,pack,50,7,1.9,MPI,16,100,true,4,PHT,syn_img_5k,1,true,120,0.942529,0.820000,2.641870,false,4,true,false,false
0.981817,0.176464,4,2,75,75.0,5.0,true,360,25,pack,50,7,1.9,openMP,16,100,true,4,PHT,syn_img_5k,1,true,120,0.976744,0.840000,0.656842,false,1,true,false,false
0.982169,0.176867,4,2,75,75.0,5.0,true,360,25,pack,50,7,1.9,openMP,16,100,true,4,PHT,syn_img_5k,1,true,120,0.977011,0.850000,0.656060,false,1,true,false,false
1.015824,0.210242,4,2,75,75.0,5.0,true,360,25,pack,50,7,1.9,openMP,16,100,true,4,HT,syn_img_5k,1,true,120,0.966292,0.860000,0.655679,false,1,true,false,false
1.014933,0.210065,4,2,75,75.0,5.0,true,360,25,pack,50,7,1.9,openMP,16,100,true,4,HT,syn_img_5k,1,true,120,0.966292,0.860000,0.655631,false,1,true,false,false
5.408384,3.716756,4,2,75,75.0,5.0,true,360,25,pack,50,7,1.9,Hybrid,16,100,true,2,HT,syn_img_5k,1,true,120,0.966292,0.860000,1.294381,false,2,true,false,false
5.366728,3.743797,4,2,75,75.0,5.0,true,360,25,pack,50,7,1.9,Hybrid,16,100,true,2,HT,syn_img_5k,1,true,120,0.966292,0.860000,1.304633,false,2,true,false,false
29.982822,19.574060,4,2,90,75.0,5.0,false,360,25,pack,50,7,1.9,MPI,16,100,true,4,PPHT,syn_img_5k,1,true,50,0.010158,0.990000,9.718371,false,4,true,false,true
29.878214,19.592886,4,2,90,75.0,5.0,false,360,25,pack,50,7,1.9,MPI,16,100,true,4,PPHT,syn_img_5k,1,true,50,0.010126,0.990000,9.660494,false,4,true,false,true
13.722443,3.416359,4,2,90,75.0,5.0,false,360,25,pack,50,7,1.9,openMP,16,100,true,4,PPHT,syn_img_5k,1,true,50,0.072485,0.980000,9.666974,false,4,true,false,true
13.505243,3.243106,4,2,90,75.0,5.0,false,360,25,pack,50,7,1.9,openMP,16,100,true,4,PPHT,syn_img_5k,1,true,50,0.071217,0.960000,9.673715,false,4,true,false,true
31.854972,21.542525,4,2,90,75.0,5.0,false,360,25,pack,50,7,1.9,MPI,16,100,true,4,PPHT,syn_img_5k,1,true,50,0.011360,0.990000,9.659321,false,4,true,false,true
32.089207,21.783586,4,2,90,75.0,5.0,false,360,25,pack,50,7,1.9,MPI,16,100,true,4,PPHT,syn_img_5k,1,true,50,0.011478,0.990000,9.639206,false,4,true,false,true
7.884245,0.715694,1,1,90,75.0,5.0,false,360,25,pack,50,7,1.9,None,8,100,true,1,PPHT,syn_img_5k,1,true,50,0.040379,0.980000,7.015304,false,1,true,false,true
7.881893,0.716586,1,1,90,75.0,5.0,false,360,25,pack,50,7,1.9,None,8,100,true,1,PPHT,syn_img_5k,1,true,50,0.040296,0.980000,7.013218,false,1,true,false,true
3.031967,0.443647,4,2,90,75.0,5.0,false,360,25,pack,50,7,1.9,openMP,16,100,true,4,PPHT,syn_img_5k,1,true,50,0.059683,0.980000,2.433680,false,1,true,false,true
3.018565,0.442895,4,2,90,75.0,5.0,false,360,25,pack,50,7,1.9,openMP,16,100,true,4,PPHT,syn_img_5k,1,true,50,0.061122,0.970000,2.423282,false,1,true,false,true
