total_duration,htDuration,pbs_ncpus,pbs_select,sampling_rate,cluster_rho_threshold,cluster_theta_threshold,cluster_similar_lines,hough_theta,ppht_line_gap,pbs_place,ppht_line_len,gb_kernel_size,gb_sigma,HT_parallelism,pbs_mem,sed_threshold,output_disabled,omp_threads,HT_version,image_name,sed_scale_factor,parallel_preprocessing,hough_vote_threshold,precision,recall,preprocessingDuration,histogram_equalization,pbs_np,greyscale_conversion,gaussian_blur,sobel_edge_detection
11.694447,1.632766,1,1,90,75.0,5.0,false,360,25,pack,50,7,1.9,None,8,100,false,1,PPHT,syn_img_5k,1,false,50,0.001803,0.940000,6.713269,false,1,true,false,true
11.457938,1.636668,1,1,90,75.0,5.0,false,360,25,pack,50,7,1.9,None,8,100,false,1,PPHT,syn_img_5k,1,false,50,0.001810,0.950000,6.648750,false,1,true,false,true
10.392478,0.745237,1,1,90,75.0,5.0,false,360,25,pack,50,7,1.9,None,8,100,false,1,PPHT,syn_img_5k,1,false,50,0.040263,0.980000,6.604649,false,1,true,false,true
10.726974,0.719911,1,1,90,75.0,5.0,false,360,25,pack,50,7,1.9,None,8,100,false,1,PPHT,syn_img_5k,1,false,50,0.040359,0.990000,6.693770,false,1,true,false,true
72.360576,62.538907,1,1,90,75.0,5.0,false,360,25,pack,50,7,1.9,None,8,100,false,1,PPHT,syn_img_5k,1,false,50,0.000000,0.000000,6.657252,false,1,true,false,true
73.165280,62.905269,1,1,90,75.0,5.0,false,360,25,pack,50,7,1.9,None,8,100,false,1,PPHT,syn_img_5k,1,false,50,0.000000,0.000000,6.749888,false,1,true,false,true
37.228215,6.846903,2,2,90,75.0,5.0,false,360,25,pack,50,7,1.9,MPI,8,100,false,1,PPHT,syn_img_5k,1,false,50,0.020204,0.990000,13.217180,false,2,true,false,true
36.398270,6.802916,2,2,90,75.0,5.0,false,360,25,pack,50,7,1.9,MPI,8,100,false,1,PPHT,syn_img_5k,1,false,50,0.020497,0.990000,13.221416,false,2,true,false,true
36.834572,6.352824,2,2,90,75.0,5.0,false,360,25,pack,50,7,1.9,MPI,8,100,false,1,PPHT,syn_img_5k,1,false,50,0.043363,0.980000,13.047751,false,2,true,false,true
36.046294,6.334851,2,2,90,75.0,5.0,false,360,25,pack,50,7,1.9,MPI,8,100,false,1,PPHT,syn_img_5k,1,false,50,0.044575,0.990000,13.046548,false,2,true,false,true
36.083121,6.245616,2,2,90,75.0,5.0,false,360,25,pack,50,7,1.9,MPI,8,100,false,1,PPHT,syn_img_5k,1,false,50,0.044214,0.470000,13.096821,false,2,true,false,true
36.654206,6.244642,2,2,90,75.0,5.0,false,360,25,pack,50,7,1.9,MPI,8,100,false,1,PPHT,syn_img_5k,1,false,50,0.044146,0.460000,13.179275,false,2,true,false,true
23.094823,6.742035,2,2,90,75.0,5.0,false,360,25,pack,50,7,1.9,MPI,8,100,false,1,PPHT,syn_img_5k,1,false,120,0.096257,0.180000,1.467570,false,2,true,false,false
17.083483,6.668392,2,2,90,75.0,5.0,false,360,25,pack,50,7,1.9,MPI,8,100,false,1,PPHT,syn_img_5k,1,false,120,0.084270,0.150000,1.414836,false,2,true,false,false
27.452074,6.224439,2,2,90,75.0,5.0,false,360,25,pack-excl,100,7,1.9,MPI,8,100,false,2,PPHT,syn_img_5k,1,true,50,0.000000,0.000000,8.232897,false,2,true,false,true
22.095051,6.229495,2,2,90,75.0,5.0,false,360,25,pack-excl,100,7,1.9,MPI,8,100,false,2,PPHT,syn_img_5k,1,true,50,0.000000,0.000000,8.387844,false,2,true,false,true
27.186619,6.323160,2,2,90,75.0,5.0,false,360,25,pack-excl,50,7,1.9,MPI,8,100,false,2,PPHT,syn_img_5k,1,true,50,0.042342,0.470000,8.339844,false,2,true,false,true
21.632304,6.263708,2,2,90,75.0,5.0,false,360,25,pack-excl,50,7,1.9,MPI,8,100,false,2,PPHT,syn_img_5k,1,true,50,0.041933,0.460000,8.228878,false,2,true,false,true
19.403632,6.973629,2,2,90,75.0,5.0,false,360,25,pack-excl,50,7,1.9,MPI,8,100,false,2,PPHT,syn_img_5k,1,true,50,0.016606,0.460000,1.420913,false,2,true,false,false
14.759717,6.986474,2,2,90,75.0,5.0,false,360,25,pack-excl,50,7,1.9,MPI,8,100,false,2,PPHT,syn_img_5k,1,true,50,0.016526,0.470000,1.420927,false,2,true,false,false
27.482085,6.297053,2,2,90,75.0,5.0,false,360,25,pack-excl,50,7,1.9,MPI,8,100,false,2,PPHT,syn_img_5k,1,true,50,0.044304,0.980000,8.191601,false,2,true,false,true
22.109795,6.334101,2,2,90,75.0,5.0,false,360,25,pack-excl,50,7,1.9,MPI,8,100,false,2,PPHT,syn_img_5k,1,true,50,0.044728,0.980000,8.241887,false,2,true,false,true
7.213656,0.451568,2,1,90,75.0,5.0,false,360,25,pack-excl,50,7,1.9,openMP,8,100,false,2,PPHT,syn_img_5k,1,true,50,0.062341,0.980000,4.266671,false,1,true,false,true
7.406444,0.486840,2,1,90,75.0,5.0,false,360,25,pack-excl,50,7,1.9,openMP,8,100,false,2,PPHT,syn_img_5k,1,true,50,0.063259,0.990000,4.503730,false,1,true,false,true
27.044369,1.616890,2,1,90,75.0,5.0,false,360,25,pack-excl,50,7,1.9,openMP,8,100,false,2,PPHT,syn_img_10k,1,true,50,0.021164,1.000000,16.843873,false,1,true,false,true
28.243614,1.725024,2,1,90,75.0,5.0,false,360,25,pack-excl,50,7,1.9,openMP,8,100,false,2,PPHT,syn_img_10k,1,true,50,0.021123,0.995000,16.689973,false,1,true,false,true
7.487768,0.498307,2,1,90,75.0,5.0,false,360,25,pack-excl,50,7,1.9,openMP,8,100,false,2,PPHT,syn_img_5k,1,true,50,0.061300,0.990000,4.226717,false,1,true,false,true
7.195236,0.462666,2,1,90,75.0,5.0,false,360,25,pack-excl,50,7,1.9,openMP,8,100,false,2,PPHT,syn_img_5k,1,true,50,0.060073,0.990000,4.322008,false,1,true,false,true
5.027734,0.534411,8,1,90,75.0,5.0,false,360,25,pack-excl,50,7,1.9,openMP,8,100,false,8,PPHT,syn_img_5k,1,true,50,0.000000,0.000000,2.002053,false,1,true,false,true
4.938216,0.532198,8,1,90,75.0,5.0,false,360,25,pack-excl,50,7,1.9,openMP,8,100,false,8,PPHT,syn_img_5k,1,true,50,0.000000,0.000000,2.017090,false,1,true,false,true
7.230145,0.489453,2,1,90,75.0,5.0,false,360,25,pack-excl,50,7,1.9,openMP,8,100,false,2,PPHT,syn_img_5k,1,true,50,0.060625,0.970000,4.238058,false,1,true,false,true
