total_duration,htDuration,number_processes,pbs_ncpus,pbs_select,ppht_line_gap,sampling_rate,cluster_rho_threshold,ppht_line_len,gb_kernel_size,precision,recall,preprocessingDuration,histogram_equalization,HT_parallelism,pbs_mem,sed_threshold,omp_threads,parallel_preprocessing,hough_vote_threshold,HT_version,image_name,sed_scale_factor,gb_sigma,greyscale_conversion,gaussian_blur,sobel_edge_detection,cluster_similar_lines,hough_theta,cluster_theta_threshold
2.843461,0.366198,1,1,1,30,75,75.0,20,7,0.921348,0.820000,0.630631,false,None,4,100,1,false,120,HT,syn_img_5k,1,1.9,true,false,false,true,360,5.0
2.616958,0.369778,1,1,1,30,75,75.0,20,7,0.921348,0.820000,0.652700,false,None,4,100,1,false,120,HT,syn_img_5k,1,1.9,true,false,false,true,360,5.0
2.537184,0.363903,1,1,1,30,75,75.0,20,7,0.921348,0.820000,0.643765,false,None,4,100,1,false,120,HT,syn_img_5k,1,1.9,true,false,false,true,360,5.0
2.516383,0.316875,1,1,1,30,75,75.0,20,7,0.941860,0.810000,0.631385,false,None,4,100,8,false,120,PHT,syn_img_5k,1,1.9,true,false,false,true,360,5.0
2.536434,0.316887,1,1,1,30,75,75.0,20,7,0.941860,0.810000,0.645793,false,None,4,100,8,false,120,PHT,syn_img_5k,1,1.9,true,false,false,true,360,5.0
3.288384,0.311290,1,1,1,30,75,75.0,20,7,0.941860,0.810000,0.646214,false,None,4,100,8,false,120,PHT,syn_img_5k,1,1.9,true,false,false,true,360,5.0
9.101219,0.736331,1,1,1,25,95,75.0,50,7,0.030784,0.990000,5.560113,false,None,4,100,8,false,50,PPHT,syn_img_5k,1,1.9,true,false,true,false,360,5.0
11.182157,0.732113,1,1,1,25,95,75.0,50,7,0.031880,0.980000,5.630298,false,None,4,100,8,false,50,PPHT,syn_img_5k,1,1.9,true,false,true,false,360,5.0
10.328578,0.733181,1,1,1,25,95,75.0,50,7,0.030117,0.980000,5.633185,false,None,4,100,8,false,50,PPHT,syn_img_5k,1,1.9,true,false,true,false,360,5.0
6.260706,0.748836,1,1,1,25,95,75.0,50,7,0.031300,0.980000,1.682409,false,None,4,100,8,true,50,PPHT,syn_img_5k,1,1.9,true,false,true,false,360,5.0
5.494764,0.751607,1,1,1,25,95,75.0,50,7,0.030784,0.990000,1.816804,false,None,4,100,8,true,50,PPHT,syn_img_5k,1,1.9,true,false,true,false,360,5.0
6.177675,0.749560,1,1,1,25,95,75.0,50,7,0.031741,0.990000,1.679594,false,None,4,100,8,true,50,PPHT,syn_img_5k,1,1.9,true,false,true,false,360,5.0
41.080475,3.141529,1,1,1,25,95,75.0,50,7,0.012001,0.980000,21.635467,false,None,4,100,8,false,50,PPHT,syn_img_10k,1,1.9,true,false,true,false,360,5.0
37.607146,3.258490,1,1,1,25,95,75.0,50,7,0.012047,0.980000,21.896506,false,None,4,100,8,false,50,PPHT,syn_img_10k,1,1.9,true,false,true,false,360,5.0
35.330592,3.027342,1,1,1,25,95,75.0,50,7,0.012007,0.980000,21.848861,false,None,4,100,8,false,50,PPHT,syn_img_10k,1,1.9,true,false,true,false,360,5.0
23.893716,3.194160,1,1,1,25,95,75.0,50,7,0.012020,0.980000,7.760703,false,None,4,100,8,true,50,PPHT,syn_img_10k,1,1.9,true,false,true,false,360,5.0
23.251006,3.190908,1,1,1,25,95,75.0,50,7,0.012051,0.985000,6.950835,false,None,4,100,8,true,50,PPHT,syn_img_10k,1,1.9,true,false,true,false,360,5.0
21.289147,3.191342,1,1,1,25,95,75.0,50,7,0.011955,0.980000,6.869686,false,None,4,100,8,true,50,PPHT,syn_img_10k,1,1.9,true,false,true,false,360,5.0
